selector,fraction,repeat,n_train,par10,gap_closed,accuracy,sbs_par10,vbs_par10
Feat-clf,0.5,1,158.7,19604.849389682728,0.6092053544471765,0.7223796033994334,23839.697334773628,16888.26804385117
Feat-reg,0.5,1,158.7,20273.184220992545,0.5130618416040602,0.6855524079320113,23839.697334773628,16888.26804385117
Size-reg,0.5,2,158.7,20621.03025304182,0.4630223436113942,0.6430594900849859,23839.697334773628,16888.26804385117
Feat-clf,0.5,2,158.7,19506.640558589363,0.6233332160686147,0.6883852691218131,23839.697334773628,16888.26804385117
Feat-reg,0.5,2,158.7,19912.484019455966,0.5649504801042894,0.7025495750708215,23839.697334773628,16888.26804385117
Size-reg,0.7,0,222.7,20859.49626843238,0.4287177415776855,0.6345609065155807,23839.697334773628,16888.26804385117
Feat-clf,0.7,0,222.7,19723.117014870888,0.5921919288279875,0.6912181303116147,23839.697334773628,16888.26804385117
Feat-reg,0.7,0,222.7,19484.610181215096,0.6265024027858033,0.6997167138810199,23839.697334773628,16888.26804385117
Size-reg,0.7,1,222.7,20573.028194647904,0.4699276944946433,0.6572237960339944,23839.697334773628,16888.26804385117
Feat-clf,0.7,1,222.7,19344.54286102182,0.6466518302389724,0.7195467422096318,23839.697334773628,16888.26804385117
Feat-reg,0.7,1,222.7,19760.43066176813,0.5868241626700311,0.7138810198300283,23839.697334773628,16888.26804385117
Size-reg,0.7,2,222.7,19905.249751070536,0.5659911680092755,0.6373937677053825,23839.697334773628,16888.26804385117
Feat-clf,0.7,2,222.7,19214.370822268324,0.6653777689352749,0.6855524079320113,23839.697334773628,16888.26804385117
Feat-reg,0.7,2,222.7,19894.823819916073,0.5674909935441591,0.6515580736543909,23839.697334773628,16888.26804385117
Size-reg,1.0,0,317.7,20035.41032301082,0.5472668788749167,0.6855524079320113,23839.697334773628,16888.26804385117
Feat-clf,1.0,0,317.7,19054.838743831904,0.6883273051759361,0.7223796033994334,23839.697334773628,16888.26804385117
Feat-reg,1.0,0,317.7,19204.527160268477,0.6667938319617234,0.7252124645892352,23839.697334773628,16888.26804385117
